system:index,FID,mean,.geo
00000000000000000000,1.0,-0.06481986492872238,"{""type"":""Point"",""coordinates"":[29.923035167006752,-29.671216449755768]}"
00000000000000000001,7.0,-0.0010954502504318953,"{""type"":""Point"",""coordinates"":[30.498116195520804,-29.286923938908362]}"
00000000000000000002,8.0,0.0947004035115242,"{""type"":""Point"",""coordinates"":[29.9334787820559,-29.688201239688645]}"
00000000000000000003,9.0,0.15042661130428314,"{""type"":""Point"",""coordinates"":[30.4499448785043,-29.25725143955557]}"
00000000000000000004,11.0,-0.09689958393573761,"{""type"":""Point"",""coordinates"":[29.91843026070319,-29.70233343551222]}"
00000000000000000005,14.0,0.10060688108205795,"{""type"":""Point"",""coordinates"":[30.49454358672865,-29.281362545730477]}"
00000000000000000006,16.0,-0.02890675887465477,"{""type"":""Point"",""coordinates"":[30.09487669427792,-29.555383934278023]}"
00000000000000000007,18.0,0.0027352296747267246,"{""type"":""Point"",""coordinates"":[30.465781492196292,-29.297320712642236]}"
00000000000000000008,19.0,-0.06235814467072487,"{""type"":""Point"",""coordinates"":[30.082398492779255,-29.600385833740553]}"
00000000000000000009,22.0,0.007936508394777775,"{""type"":""Point"",""coordinates"":[30.477013642524692,-29.283249040888162]}"
0000000000000000000a,23.0,-0.12815013527870178,"{""type"":""Point"",""coordinates"":[30.056801629339088,-29.584983737778117]}"
0000000000000000000b,24.0,0.006117470562458038,"{""type"":""Point"",""coordinates"":[30.096321864433833,-29.5937923890559]}"
0000000000000000000c,25.0,-0.051155928522348404,"{""type"":""Point"",""coordinates"":[30.26250353675407,-29.251616851204435]}"
0000000000000000000d,26.0,0.09635782986879349,"{""type"":""Point"",""coordinates"":[30.5035179066129,-29.293535953908208]}"
0000000000000000000e,27.0,-0.026027057319879532,"{""type"":""Point"",""coordinates"":[30.238717520406336,-29.25783457841898]}"
0000000000000000000f,28.0,0.14679238200187683,"{""type"":""Point"",""coordinates"":[30.069128178506556,-29.59869193376721]}"
00000000000000000010,29.0,0.09457755088806152,"{""type"":""Point"",""coordinates"":[30.460397458376306,-29.31133702754226]}"
00000000000000000011,30.0,0.10261262208223343,"{""type"":""Point"",""coordinates"":[30.49812162574263,-29.23785036935899]}"
00000000000000000012,32.0,0.007871211506426334,"{""type"":""Point"",""coordinates"":[29.996794676170595,-29.69880341779299]}"
00000000000000000013,33.0,-0.02770317532122135,"{""type"":""Point"",""coordinates"":[30.25909971866593,-29.24102495692402]}"
00000000000000000014,35.0,-0.01803080178797245,"{""type"":""Point"",""coordinates"":[30.355371421053086,-29.237994643833883]}"
00000000000000000015,36.0,-0.035517316311597824,"{""type"":""Point"",""coordinates"":[29.989003931990503,-29.646947048374603]}"
00000000000000000016,37.0,-0.11027469485998154,"{""type"":""Point"",""coordinates"":[29.935465376890146,-29.69993566097862]}"
00000000000000000017,41.0,-0.10575508326292038,"{""type"":""Point"",""coordinates"":[30.262067252364762,-29.266070209511927]}"
00000000000000000018,43.0,0.07319039106369019,"{""type"":""Point"",""coordinates"":[30.078129564542508,-29.548726202524854]}"
00000000000000000019,45.0,-0.04240422323346138,"{""type"":""Point"",""coordinates"":[30.243806129780918,-29.2626678600881]}"
0000000000000000001a,46.0,0.006445516832172871,"{""type"":""Point"",""coordinates"":[30.257124139491033,-29.256704879371476]}"
0000000000000000001b,47.0,0.04103972390294075,"{""type"":""Point"",""coordinates"":[30.332170695938395,-29.24852165255239]}"
0000000000000000001c,49.0,-0.05908504128456116,"{""type"":""Point"",""coordinates"":[30.29961451525361,-29.234425980692045]}"
0000000000000000001d,50.0,-0.10169736295938492,"{""type"":""Point"",""coordinates"":[30.064216822614558,-29.594580932745647]}"
0000000000000000001e,54.0,-0.0894022211432457,"{""type"":""Point"",""coordinates"":[30.316033962452885,-29.22046417372351]}"
0000000000000000001f,55.0,0.03496167063713074,"{""type"":""Point"",""coordinates"":[29.947748497862996,-29.64524193171477]}"
00000000000000000020,56.0,-0.0580751970410347,"{""type"":""Point"",""coordinates"":[30.251224408620146,-29.254694120234227]}"
00000000000000000021,59.0,-0.014859437942504883,"{""type"":""Point"",""coordinates"":[29.924857497479156,-29.69468923648061]}"
00000000000000000022,60.0,-0.09957478940486908,"{""type"":""Point"",""coordinates"":[30.050050139140204,-29.54838726723571]}"
00000000000000000023,61.0,0.04954526945948601,"{""type"":""Point"",""coordinates"":[30.51177918993267,-29.281904236670513]}"
00000000000000000024,62.0,0.08617041260004044,"{""type"":""Point"",""coordinates"":[30.460712014557352,-29.279854787548633]}"
00000000000000000025,63.0,0.037136249244213104,"{""type"":""Point"",""coordinates"":[29.92258759243347,-29.687917131120816]}"
00000000000000000026,65.0,-0.0015755422646179795,"{""type"":""Point"",""coordinates"":[30.279550211576975,-29.258609698299573]}"
00000000000000000027,66.0,0.06739860028028488,"{""type"":""Point"",""coordinates"":[29.978777418590415,-29.678042246890136]}"
00000000000000000028,70.0,0.08068756014108658,"{""type"":""Point"",""coordinates"":[30.056261646624222,-29.553655707854592]}"
00000000000000000029,71.0,0.005787690635770559,"{""type"":""Point"",""coordinates"":[29.94067127405686,-29.6616601410037]}"
0000000000000000002a,72.0,-0.0641343742609024,"{""type"":""Point"",""coordinates"":[30.50959798108201,-29.270332863192078]}"
0000000000000000002b,73.0,-0.1347726583480835,"{""type"":""Point"",""coordinates"":[30.074740082845253,-29.59523428445063]}"
0000000000000000002c,74.0,0.08456876128911972,"{""type"":""Point"",""coordinates"":[30.29161299510835,-29.24651915551508]}"
0000000000000000002d,76.0,0.018301477655768394,"{""type"":""Point"",""coordinates"":[30.00098226164463,-29.706620755048576]}"
0000000000000000002e,77.0,0.03766850382089615,"{""type"":""Point"",""coordinates"":[30.23799771361853,-29.26238668996577]}"
0000000000000000002f,79.0,0.058550875633955,"{""type"":""Point"",""coordinates"":[30.31910928163812,-29.24875724027402]}"
00000000000000000030,83.0,0.02052098698914051,"{""type"":""Point"",""coordinates"":[30.081242619441095,-29.580760268136537]}"
00000000000000000031,85.0,0.003246420295909047,"{""type"":""Point"",""coordinates"":[29.934045002005515,-29.665844743734294]}"
00000000000000000032,86.0,-0.014295188710093498,"{""type"":""Point"",""coordinates"":[30.498214470748056,-29.26381967989436]}"
00000000000000000033,87.0,0.017847638577222824,"{""type"":""Point"",""coordinates"":[29.94750601336466,-29.67599985111668]}"
00000000000000000034,91.0,0.03924102336168289,"{""type"":""Point"",""coordinates"":[29.933359713170592,-29.671026221210145]}"
00000000000000000035,92.0,-0.1258123517036438,"{""type"":""Point"",""coordinates"":[30.068954583211166,-29.591413082005253]}"
00000000000000000036,93.0,0.06494267284870148,"{""type"":""Point"",""coordinates"":[30.086447446263673,-29.59319530271338]}"
00000000000000000037,95.0,-0.08901581168174744,"{""type"":""Point"",""coordinates"":[30.088641485296197,-29.558716992576727]}"
00000000000000000038,96.0,-0.020891528576612473,"{""type"":""Point"",""coordinates"":[30.3105487136075,-29.242840452363488]}"
